DISPUTE_ID,STATUS,MEMO_TEXT
1783724,J,Subscription - FA
1799627,R,"Good day

Please assist, customer is requesting a payment araangement for the pentalty changed to next month.
since she only has the subscription amount now.

customer contact number:0733333401"
1803460,J,"Good day

The customer was prematurely migrated and therefore the split billing did not fully cover the cost of the subscription fee."
1791789,R,"Good day

Please assist with Investigating Customer Account for Event Bill Charged from Sep-2025 till Jan 2026 Total amount of R646 and Credit customer Account . Customer did not know anyrhing about subscription that were charging

Affected FA  501218847
BAN 334566918
Affected No 0814160489"
1798190,J,"S HUISAMEN
Customer upgraded the account and were advised the credit will be applied. She called and upgraded the speed on the 27/11/2025, was advised she will recieve a call in order to test the speed whether will be compatable. It was compatable but has recieved that speed in January 2026, and wants the credit for the month of Dec 2025.

B510007049
Cust called in, having issues with slow internet speed
Cust subscribed to: 200/100 MBPS
speed test results before refreshing the line
Download: 40 mbps
Upload:16.4 mbps
Cust not at home, cannot refresh the line. nzimans5

Subscription & usage for B510007049 Telkom Endless Fibre R 955.00Subscription services
Description Period
Retail Fibre BB 100/100Mbps 18 Nov 25 - 17 Dec 25 R 883.48Retail fibre contract fee (Consumer) 18 Nov 25 - 17 Dec 25 R 71.52Subtotal R 955.00Subscription & usage for TIN1518851 Telkom Endless Fibre R 814.82Subscription services
Description Period
TI-Mailbox 18 Nov 25 - 17 Dec 25 R 15.82Telkom Uncapped (40-100Mbps) 18 Nov 25 - 17 Dec 25 R 799.00

Subscription & usage for B510007049 Telkom Endless Fibre R 1,089.00Subscription services
Description Period
Retail Fibre BB 200/100Mbps 18 Dec 25 - 17 Jan 26 R 1,017.48Retail fibre contract fee (Consumer) 18 Dec 25 - 17 Jan 26 R 71.52Subtotal R 1,089.00Subscription & usage for TIN1518851 Telkom Endless Fibre R 999.00Subscription services
Description Period
Telkom Uncapped (100-200Mbps) 18 Dec 25 - 17 Jan 26 R 999.00


Change(Broadband,Internet) ,Closed,11/26/2025,2696239581A,2696239582A,Telkom Endless Fibre
Customer Request
Telkom Endless Fibre200/100 mbps

Telkom Endless Fibre 100/100Mbps R909.00 R965.00 R56.00
R1225-965=R260"
1776419,R,POA ongoing
1795884,R," relog from protection csse ---Incoming call
Contact Phone: 0610128598

Notes: Good day

Customer have two profiles on the system.
The one profile was created as business(FA: 509874785) and the other as a consumer (FA:  501501085)

There is a Multisim that goes off on the Business FA 509874785, but the rest of the subscription reflects on FA 501501085.

Customer wants all his products to deduct on one FA 501501085."
1776728,J,Subscription with no usage on it 10Mbps not 
1791172,R,"Customer id - 120715905
Affected service - TIN1541502
Cleint was migrated to fibre on 16 November 2018
i.e 85 months ago
Client had inidicated that he needed hi email address
as well ( textilefreight) 
Processing agent did not down gradetin to ti mail box and 
had left tin including internet subscription running
Cleint has erraneously been charged R288.51 instead of R15.82 if his migartiuon was done correctly
I have now done order to downgrde service as initially requested.
Client is requesting cerdit to be passed i.e
 R288.51-R 15.82 = R 272.69 x 85 months = R 23 178.65
Kindly econcile accordingly.
Regards
Cheyne FRancis"
1776139,J,"Customer invoice is incorrect has the customer account is being over billed 

Customer has a services line with a monthly subscription of -654.99
But customer was charged 1,134.19 
the services number B510011952 is not correct telkom lite uncapped at Retail Fibre BB Lite 50/25Mbps is not 1134.19

calculations 
monthly services fee / susbcription 

 B510011952 = 1234.96 + 71.52
=1306.48

Plus the TIN number 

TIN3957532= 155
Minus discounts 
=327.29

total subcription 
= 1,134.19

incorrect invoice 
differance on total
1,134.19 - 654.99
= 479.2
Customer is due to be credite total amount of 479.2 this is for the past 2 months
October and November invoices 2025"
1784895,R,"Good day 
FA:505018312
Customer ID:128043731, isaac mutamba,Consumer

kindly assist the customer has been charged WASP of R63, customer is not aware of the subscription "
1800301,R,Resolution Protection CUSTOMER MADE PAYMENT NOW R862.88 
1782448,J,"The South African National Blood Services (SANBS) are experiencing challenges with connectivity on their LTE services due to roaming not being enabled on the plan. The services are in the process of being migrated to enable roaming connectivity. During the month of November 2025, 922 services had no usage due to the customer pausing this project until resolution.
A credit was requested for services not used by the customer, the breakdown of the credit calculation is as per below: -
Tariff
Subscription
Quantity
Total Credit
10gb
R59.00
516
R30 444.00
20gb
R99.00
313
R30 987.00
80gb
R199.00
93
R18 507.00
922
R79 938.00
Please assist with approval of a credit on SANBS APN account for R79 938.00.
BA344822602"
1789267,J,Customer was charged the subscription fee of R655 without the monthly discount of R166 credited the customer for 2 months 
1804841,R,"the customer was upgraded her services from R654.99 to the monthly subscription of R1,198.28 however the customer was charged for both services in the current bill"
1806654,O,"Mr. THERON requested to know why are they billed for something he's not using 91852378

Customer sated that his ADSL line wasn't working for days but he was billed for the whole month, Full monthly subscription 

Case ref no ; 91852378

Customer Notification

Notes: [+27836019490]:Telkom SA: Dear Customer, 
Ticket ref. 91852378 is created for service  0217615165. We will fix the issue soon.   
Please do not reply to the SMS."
1795887,R,"Good day 

Please remove subscription of R79 customer is claiming that he never subscribe "
1781489,R,Kindly assist Customers bill is R70 more per month due to 0814382682 being charged R70 more on his device subscription. Kindly check July bill and provide credits from July to date as device subscription was not supposed to change from R101 to R171. Calculate and provide credits accordingly. Dispute not for R1
1790537,R,Resolution Protection - FA
